カード名(オラクル),セグメント番号,マナ・コスト,名前(オラクル・正面非反転),色指標(正面非反転),色(正面非反転),特殊タイプ・リスト(正面非反転),カード・タイプ・リスト(正面非反転),サブタイプ・リスト(正面非反転),オラクル・テキスト(正面非反転),パワー(正面非反転),タフネス(正面非反転),忠誠度(正面非反転),名前(オラクル・背面/反転),色指標(背面/反転),色(背面/反転),特殊タイプ・リスト(背面/反転),カード・タイプ・リスト(背面/反転),サブタイプ・リスト(背面/反転),オラクル・テキスト(背面/反転),パワー(背面/反転),タフネス(背面/反転),忠誠度(背面/反転),名前(プリント・正面非反転・英),名前(プリント・正面非反転・日),ルール・テキスト(プリント・正面非反転・英),ルール・テキスト(プリント・正面非反転・日),フレイバー・テキスト(正面非反転・英),フレイバー・テキスト(正面非反転・日),アーティスト,コレクター番号,名前(プリント・背面/反転・英),名前(プリント・背面/反転・日),ルール・テキスト(プリント・背面/反転・英),ルール・テキスト(プリント・背面/反転・日),フレイバー・テキスト(背面/反転・英),フレイバー・テキスト(背面/反転・日),アーティスト(背面),コレクター番号(背面),両面/反転,カード・セット・コード,レアリティ,禁止フォーマット・リスト,制限フォーマット・リスト
Corpse Blockade,1,{2}{B},Corpse Blockade,,B,,クリーチャー,ゾンビ,Defender<br/>Sacrifice another creature: Corpse Blockade gains deathtouch until end of turn.,1,4,,,,,,,,,,,,Corpse Blockade,死体の道塞ぎ,Defender<br/>Sacrifice another creature: Corpse Blockade gains deathtouch until end of turn.,防衛他のクリーチャーを１体生け贄に捧げる：死体の道塞ぎはターン終了時まで接死を得る。,"<i>There are laws against it, but the dead have no one to complain to and the living are too frightened to investigate.</i>",<i>それを取り締まる法律はあるが、死者には告訴する相手がおらず、生者は恐怖のあまり捜査しようとしない。</i>,Lucas Graciano,60,,,,,,,,,,GTC,コモン,,
Corpsejack Menace,1,{2}{B}{G},Corpsejack Menace,,BG,,クリーチャー,ファンガス,"If one or more +1/+1 counters would be placed on a creature you control, twice that many +1/+1 counters are placed on it instead.",4,4,,,,,,,,,,,,Corpsejack Menace,屍体屋の脅威,"If one or more +1/+1 counters would be placed on a creature you control, twice that many +1/+1 counters are placed on it instead.",あなたがコントロールするクリーチャー１体の上に＋１/＋１カウンターが１個以上置かれる場合、代わりにその２倍の数の＋１/＋１カウンターをそれの上に置く。,<i>Weakness is not in the nature of the Swarm.</i>,<i>そもそも大群は弱点という概念とは無縁だ。</i>,Chris Rahn,152,,,,,,,,,,RTR,レア,,
Council of the Absolute,1,{2}{W}{U},Council of the Absolute,,WU,,クリーチャー,人間 アドバイザー,"As Council of the Absolute enters the battlefield, name a card other than a creature or land card.<br/>Your opponents can't cast cards with the chosen name.<br/>Spells with the chosen name you cast cost {2} less to cast.",2,4,,,,,,,,,,,,Council of the Absolute,不可侵議員,"As Council of the Absolute enters the battlefield, name a card other than a creature or land card.<br/>Your opponents can't cast cards with the chosen name.<br/>Spells with the chosen name you cast cost {2} less to cast.",不可侵議員が戦場に出るに際し、クリーチャー・カードでも土地カードでもないカード名を１つ指定する。<br/>あなたの対戦相手は選ばれた名前を持つカードを唱えられない。<br/>あなたが唱える選ばれた名前を持つ呪文は、それを唱えるためのコストが{2}少なくなる。,,,Zoltan Boros,62,,,,,,,,,,DGM,神話レア,,
Counterflux,1,{U}{U}{R},Counterflux,,UR,,インスタント,,"Counterflux can't be countered by spells or abilities.<br/>Counter target spell you don't control.<br/>Overload {1}{U}{U}{R} <i>(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")</i>",,,,,,,,,,,,,,Counterflux,対抗変転,"Counterflux can't be countered by spells or abilities.<br/>Counter target spell you don't control.<br/>Overload {1}{U}{U}{R} <i>(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")</i>",対抗変転は呪文や能力によって打ち消されない。<br/>あなたがコントロールしていない呪文１つを対象とし、それを打ち消す。<br/>超過 {1}{U}{U}{R} （あなたはこの呪文をその超過コストで唱えてもよい。そうした場合、あなたがコントロールしていない各呪文をそれぞれ打ち消す。）,,,Scott M. Fischer,153,,,,,,,,,,RTR,レア,,
Coursers' Accord,1,{4}{G}{W},Coursers' Accord,,GW,,ソーサリー,,"Put a 3/3 green Centaur creature token onto the battlefield, then populate. <i>(Put a token onto the battlefield that's a copy of a creature token you control.)</i>",,,,,,,,,,,,,,Coursers' Accord,狩猟者の協定,"Put a 3/3 green Centaur creature token onto the battlefield, then populate. <i>(Put a token onto the battlefield that's a copy of a creature token you control.)</i>",緑の３/３のケンタウルス・クリーチャー・トークンを１体戦場に出し、その後居住を行う。（あなたがコントロールするクリーチャー・トークン１体のコピーであるトークンを１体戦場に出す。）,<i>Bleak rumors reached Trostani's ears. She decreed that no one should travel alone.</i>,<i>うすら寒い噂がトロスターニの耳に届いた。彼女は決してひとりで出歩かぬようにとの命令を発した。</i>,Nils Hamm,154,,,,,,,,,,RTR,コモン,,
Court Street Denizen,1,{2}{W},Court Street Denizen,,W,,クリーチャー,人間 兵士,"Whenever another white creature enters the battlefield under your control, tap target creature an opponent controls.",2,2,,,,,,,,,,,,Court Street Denizen,宮廷通りの住人,"Whenever another white creature enters the battlefield under your control, tap target creature an opponent controls.",他の白のクリーチャーが１体あなたのコントロール下で戦場に出るたび、対戦相手１人がコントロールするクリーチャー１体を対象とし、それをタップする。,"<i>""The Boros fight for justice. The Azorius fight for law. I hold the line between, and make sure the people are given both.""</i>",<i>「ボロス軍は正義のために戦う。アゾリウス評議会は法のために戦う。その中間に立ち、人々がどちらも享受できるようにするのが私の務めです。」</i>,Volkan Baga,8,,,,,,,,,,GTC,コモン,,
Crackling Perimeter,1,{1}{R},Crackling Perimeter,,R,,エンチャント,,Tap an untapped Gate you control: Crackling Perimeter deals 1 damage to each opponent.,,,,,,,,,,,,,,Crackling Perimeter,はじける境界線,Tap an untapped Gate you control: Crackling Perimeter deals 1 damage to each opponent.,あなたがコントロールするアンタップ状態の門を１つタップする：はじける境界線は各対戦相手にそれぞれ１点のダメージを与える。,"<i>As the path he sought came into focus, Niv-Mizzet took steps to prevent others from approaching it.</i>",<i>探していた小道がはっきり見えるようになると、ニヴ＝ミゼットは他の者がそこへ近づくのを防ぐための方策を講じた。</i>,Yeong-Hao Han,88,,,,,,,,,,GTC,アンコモン,,
Cremate,1,{B},Cremate,,B,,インスタント,,Exile target card from a graveyard.<br/>Draw a card.,,,,,,,,,,,,,,Cremate,死体焼却,Exile target card from a graveyard.<br/>Draw a card.,いずれかの墓地にあるカード１枚を対象とし、それを追放する。<br/>カードを１枚引く。,"<i>""Without a body, the soul is helpless to fight the terms of our contracts.""</i><br/></i>?Somhaur, Orzhov pontiff</i>",<i>「肉体がなければ、魂は我らの契約の縛りに抗うことなどできぬ。」</i><br/></i>――オルゾフの司教、ソマール</i>,Cynthia Sheppard,59,,,,,,,,,,RTR,コモン,,
Crocanura,1,{2}{G},Crocanura,,G,,クリーチャー,クロコダイル カエル,"Reach <i>(This creature can block creatures with flying.)</i><br/>Evolve <i>(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)</i>",1,3,,,,,,,,,,,,Crocanura,両生鰐,"Reach <i>(This creature can block creatures with flying.)</i><br/>Evolve <i>(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)</i>",到達（このクリーチャーでは飛行を持つクリーチャーをブロックできる。）進化（クリーチャーが１体あなたのコントロール下で戦場に出るたび、そのクリーチャーのパワーかタフネスがこのクリーチャーよりも大きい場合、このクリーチャーの上に＋１/＋１カウンターを１個置く。）,,,Jack Wang,116,,,,,,,,,,GTC,コモン,,
Crosstown Courier,1,{1}{U},Crosstown Courier,,U,,クリーチャー,ヴィダルケン,"Whenever Crosstown Courier deals combat damage to a player, that player puts that many cards from the top of his or her library into his or her graveyard.",2,1,,,,,,,,,,,,Crosstown Courier,都市内の急使,"Whenever Crosstown Courier deals combat damage to a player, that player puts that many cards from the top of his or her library into his or her graveyard.",都市内の急使がプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーはその点数に等しい枚数のカードを自分のライブラリーの一番上から自分の墓地に置く。,<i>Information travels quickly through Ravnica's network of messengers and thought agents.</i>,<i>ラヴニカでは各地に散らばる伝令や思想工作員を通じて情報が瞬く間に広まっていく。</i>,Chase Stone,34,,,,,,,,,,RTR,コモン,,
Crowned Ceratok,1,{3}{G},Crowned Ceratok,,G,,クリーチャー,サイ,Trample<br/>Each creature you control with a +1/+1 counter on it has trample.,4,3,,,,,,,,,,,,Crowned Ceratok,冠角獣,Trample<br/>Each creature you control with a +1/+1 counter on it has trample.,トランプルあなたがコントロールする＋１/＋１カウンターが置かれている各クリーチャーはトランプルを持つ。,<i>The best way to calm a rampaging ceratok is to wait until it dies of natural causes.</i>,<i>荒れ狂う角獣をなだめる一番の方法は、そいつが自然死を迎えるまで待つことだ。</i>,Steve Prescott,117,,,,,,,,,,GTC,アンコモン,,
Crypt Ghast,1,{3}{B},Crypt Ghast,,B,,クリーチャー,スピリット,"Extort <i>(Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)</i><br/>Whenever you tap a Swamp for mana, add {B} to your mana pool <i>(in addition to the mana the land produces)</i>.",2,2,,,,,,,,,,,,Crypt Ghast,墓所の怪異,"Extort <i>(Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)</i><br/>Whenever you tap a Swamp for mana, add {B} to your mana pool <i>(in addition to the mana the land produces)</i>.",強請（あなたが呪文を１つ唱えるたび、あなたは{W/B}を支払ってもよい。そうした場合、各対戦相手はそれぞれ１点のライフを失い、あなたはその点数分のライフを得る。）あなたがマナを引き出す目的で沼を１つタップするたび、（その土地が生み出すマナに加えて）あなたのマナ・プールに{B}を加える。,,,Chris Rahn,61,,,,,,,,,,GTC,レア,,
Crypt Incursion,1,{2}{B},Crypt Incursion,,B,,インスタント,,Exile all creature cards from target player's graveyard. You gain 3 life for each card exiled this way.,,,,,,,,,,,,,,Crypt Incursion,墓所への乱入,Exile all creature cards from target player's graveyard. You gain 3 life for each card exiled this way.,プレイヤー１人を対象とし、そのプレイヤーの墓地にあるすべてのクリーチャー・カードを追放する。これにより追放されたカード１枚につき、あなたは３点のライフを得る。,"<i>The Golgari maze-runner Varolz hungers to prove his fortitude in battle, and his trail of victims feeds other hungers.</i>",<i>ゴルガリの迷路走者、ヴァロルズは戦場での勇猛さを示す機会に飢えているが、累々と連なる彼の犠牲者は別の飢えを満たしている。</i>,Svetlin Velinov,23,,,,,,,,,,DGM,コモン,,
Cryptborn Horror,1,{1}{B/R}{B/R},Cryptborn Horror,,BR,,クリーチャー,ホラー,"Trample<br/>Cryptborn Horror enters the battlefield with X +1/+1 counters on it, where X is the total life lost by your opponents this turn.",0,0,,,,,,,,,,,,Cryptborn Horror,墓所生まれの恐怖,"Trample<br/>Cryptborn Horror enters the battlefield with X +1/+1 counters on it, where X is the total life lost by your opponents this turn.",トランプル<br/>墓所生まれの恐怖は、＋１/＋１カウンターがＸ個置かれた状態で戦場に出る。Ｘはあなたの対戦相手がこのターンに失ったライフの合計に等しい。,"<i>Although Cryptwitch Merree vanished after a spat with Rakdos, her playthings lingered.</i>",<i>ラクドスとの抗争の後で、墓所魔女メーリーは姿を消したが、彼女の遊び道具は残った。</i>,Richard Wright,212,,,,,,,,,,RTR,レア,,
Cyclonic Rift,1,{1}{U},Cyclonic Rift,,U,,インスタント,,"Return target nonland permanent you don't control to its owner's hand.<br/>Overload {6}{U} <i>(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")</i>",,,,,,,,,,,,,,Cyclonic Rift,サイクロンの裂け目,"Return target nonland permanent you don't control to its owner's hand.<br/>Overload {6}{U} <i>(You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")</i>",あなたがコントロールしていない土地でないパーマネント１つを対象とし、それをオーナーの手札に戻す。<br/>超過 {6}{U} （あなたはこの呪文をその超過コストで唱えてもよい。そうした場合、あなたがコントロールしていない土地でない各パーマネントをそれぞれオーナーの手札に戻す。）,<i>The Izzet specialize in unnatural disaster.</i>,<i>イゼット団は不自然災害を専門としている。</i>,Chris Rahn,35,,,,,,,,,,RTR,レア,,
Daggerdrome Imp,1,{1}{B},Daggerdrome Imp,,B,,クリーチャー,インプ,Flying<br/>Lifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i>,1,1,,,,,,,,,,,,Daggerdrome Imp,短剣広場のインプ,Flying<br/>Lifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i>,飛行<br/>絆魂（このクリーチャーがダメージを与える場合、さらにあなたはその点数分のライフを得る。）,<i>One of the many reasons why open-air markets close at dusk.</i>,<i>夕暮時に野外市場を閉める理由のうちの一つ。</i>,Jack Wang,60,,,,,,,,,,RTR,コモン,,
Daring Skyjek,1,{1}{W},Daring Skyjek,,W,,クリーチャー,人間 騎士,"Battalion ? Whenever Daring Skyjek and at least two other creatures attack, Daring Skyjek gains flying until end of turn.",3,1,,,,,,,,,,,,Daring Skyjek,果敢なスカイジェク,"Battalion ? Whenever Daring Skyjek and at least two other creatures attack, Daring Skyjek gains flying until end of turn.",大隊 ― 果敢なスカイジェクと少なくとも２体の他のクリーチャーが攻撃するたび、果敢なスカイジェクはターン終了時まで飛行を得る。,"<i>""The hard part isn't landing in the saddle. The hard part is leaping before you see it.""</i>",<i>「鞍に着地するのは難しいことじゃない。それが視界に入る前に飛び出さなきゃならないから大変なんだ。」</i>,Jason Chan,9,,,,,,,,,,GTC,コモン,,
Dark Revenant,1,{3}{B},Dark Revenant,,B,,クリーチャー,スピリット,"Flying<br/>When Dark Revenant dies, put it on top of its owner's library.",2,2,,,,,,,,,,,,Dark Revenant,闇の帰還者,"Flying<br/>When Dark Revenant dies, put it on top of its owner's library.",飛行<br/>闇の帰還者が死亡したとき、これをオーナーのライブラリーの一番上に置く。,"<i>The murderer faced justice in the Azorius courts, but his soul was set free on a technicality.</i>",<i>殺人犯はアゾリウスの法廷で法の裁きを受けたが、彼の魂は規則に従って解放された。</i>,Daarken,61,,,,,,,,,,RTR,アンコモン,,
Dead Reveler,1,{2}{B},Dead Reveler,,B,,クリーチャー,ゾンビ,Unleash <i>(You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)</i>,2,3,,,,,,,,,,,,Dead Reveler,死の歓楽者,Unleash <i>(You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)</i>,解鎖（あなたはこのクリーチャーを、＋１/＋１カウンターが１個置かれた状態で戦場に出してよい。これの上に＋１/＋１カウンターが置かれているかぎり、これではブロックできない。）,<i>He's the unlife of the party.</i>,<i>パーティーの盛り下げ役。</i>,David Palumbo,62,,,,,,,,,,RTR,コモン,,
Deadbridge Chant,1,{4}{B}{G},Deadbridge Chant,,BG,,エンチャント,,"When Deadbridge Chant enters the battlefield, put the top ten cards of your library into your graveyard.<br/>At the beginning of your upkeep, choose a card at random in your graveyard. If it's a creature card, put it onto the battlefield. Otherwise, put it into your hand.",,,,,,,,,,,,,,Deadbridge Chant,死橋の詠唱,"When Deadbridge Chant enters the battlefield, put the top ten cards of your library into your graveyard.<br/>At the beginning of your upkeep, choose a card at random in your graveyard. If it's a creature card, put it onto the battlefield. Otherwise, put it into your hand.",死橋の詠唱が戦場に出たとき、あなたのライブラリーの一番上から10枚のカードをあなたの墓地に置く。<br/>あなたのアップキープの開始時に、あなたの墓地にあるカード１枚を無作為に選ぶ。それがクリーチャー・カードである場合、それを戦場に出す。そうでない場合、それをあなたの手札に加える。,,,Zoltan Boros,63,,,,,,,,,,DGM,神話レア,,
Deadbridge Goliath,1,{2}{G}{G},Deadbridge Goliath,,G,,クリーチャー,昆虫,"Scavenge {4}{G}{G} <i>({4}{G}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)</i>",5,5,,,,,,,,,,,,Deadbridge Goliath,死橋の大巨虫,"Scavenge {4}{G}{G} <i>({4}{G}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)</i>","活用 {4}{G}{G} ({4}{G}{G}, このカードをあなたの墓地から追放する：クリーチャー１体を対象とし、それの上にこのカードのパワーに等しい数の＋１/＋１カウンターを置く。活用はソーサリーとしてのみ行う。）",<i>Some Golgari insects live for centuries?and they never stop growing.</i>,<i>ゴルガリの昆虫のなかには何百年も生き、しかもその間ずっと成長を続けるものがいる。</i>,Chase Stone,120,,,,,,,,,,RTR,レア,,
Deathcult Rogue,1,{1}{U/B}{U/B},Deathcult Rogue,,UB,,クリーチャー,人間 ならず者,Deathcult Rogue can't be blocked except by Rogues.,2,2,,,,,,,,,,,,Deathcult Rogue,死教団のならず者,Deathcult Rogue can't be blocked except by Rogues.,死教団のならず者はならず者によってしかブロックされない。,"<i>""The hussars can't catch him, and he evades our traps with ease. I fear he walks unseen even in the halls of New Prahv."" <br/></i><br/></i>?Arrester Lavinia, Tenth Precinct</i>",<i>「軽騎兵では捕まえられないし、罠も簡単にすり抜けられてしまう。新プラーフの廊下でさえ気づかれずに歩いているのかも。」――第10管区の拘引者、ラヴィニア</i>,David Palumbo,218,,,,,,,,,,GTC,コモン,,
Deathpact Angel,1,{3}{W}{B}{B},Deathpact Angel,,WB,,クリーチャー,天使,"Flying<br/>When Deathpact Angel dies, put a 1/1 white and black Cleric creature token onto the battlefield. It has ""{3}{W}{B}{B}, {Tap}, Sacrifice this creature: Return a card named Deathpact Angel from your graveyard to the battlefield.""",5,5,,,,,,,,,,,,Deathpact Angel,死盟の天使,"Flying<br/>When Deathpact Angel dies, put a 1/1 white and black Cleric creature token onto the battlefield. It has ""{3}{W}{B}{B}, {Tap}, Sacrifice this creature: Return a card named Deathpact Angel from your graveyard to the battlefield.""","飛行死盟の天使が死亡したとき、白であり黒である１/１のクレリック・クリーチャー・トークンを１体戦場に出す。それは「{3}{W}{B}{B}, {Tap}, このクリーチャーを生け贄に捧げる：あなたの墓地にある「死盟の天使」という名前のカードを１枚戦場に戻す。」を持つ。",,,Jason Chan,153,,,,,,,,,,GTC,神話レア,,
Deathrite Shaman,1,{B/G},Deathrite Shaman,,BG,,クリーチャー,エルフ シャーマン,"{Tap}: Exile target land card from a graveyard. Add one mana of any color to your mana pool.<br/>{B}, {Tap}: Exile target instant or sorcery card from a graveyard. Each opponent loses 2 life.<br/>{G}, {Tap}: Exile target creature card from a graveyard. You gain 2 life.",1,2,,,,,,,,,,,,Deathrite Shaman,死儀礼のシャーマン,"{Tap}: Exile target land card from a graveyard. Add one mana of any color to your mana pool.<br/>{B}, {Tap}: Exile target instant or sorcery card from a graveyard. Each opponent loses 2 life.<br/>{G}, {Tap}: Exile target creature card from a graveyard. You gain 2 life.","{Tap}：いずれかの墓地にある土地カード１枚を対象とし、それを追放する。あなたのマナ・プールに、好きな色１色のマナ１点を加える。<br/>{B}, {Tap}：いずれかの墓地にあるインスタント・カード１枚かソーサリー・カード１枚を対象とし、それを追放する。各対戦相手はそれぞれ2点のライフを失う。<br/>{G}, {Tap}：いずれかの墓地にあるクリーチャー・カード１枚を対象とし、それを追放する。あなたは２点のライフを得る。",,,Steve Argyle,213,,,,,,,,,,RTR,レア,モダン,
Death's Approach,1,{B},Death's Approach,,B,,エンチャント,オーラ,"Enchant creature<br/>Enchanted creature gets -X/-X, where X is the number of creature cards in its controller's graveyard.",,,,,,,,,,,,,,Death's Approach,死の接近,"Enchant creature<br/>Enchanted creature gets -X/-X, where X is the number of creature cards in its controller's graveyard.",エンチャント（クリーチャー）エンチャントされているクリーチャーは－Ｘ/－Ｘの修整を受ける。Ｘはそれのコントローラーの墓地にあるクリーチャー・カードの総数に等しい。,"<i>""It's cold in the grave, and the dead crave your warmth. Who are you to deny them?"" <br/></i><br/></i>?Strava, Dimir mage</i>",<i>「墓の中は冷たいし、死者はあんたの温もりを欲しがってる。それを拒否するなんて、何様のつもり？」――ディミーアの魔道士、ストラヴァ</i>,Terese Nielsen,62,,,,,,,,,,GTC,コモン,,
Death's Presence,1,{5}{G},Death's Presence,,G,,エンチャント,,"Whenever a creature you control dies, put X +1/+1 counters on target creature you control, where X is the power of the creature that died.",,,,,,,,,,,,,,Death's Presence,死の存在,"Whenever a creature you control dies, put X +1/+1 counters on target creature you control, where X is the power of the creature that died.",あなたがコントロールするクリーチャーが１体死亡するたび、あなたがコントロールするクリーチャー１体を対象とし、それの上に＋１/＋１カウンターをＸ個置く。Ｘはその死亡したクリーチャーのパワーに等しい。,"<i>""We traffic in flesh, not souls. Still, it's a shame to let anything go to waste.""</i><br/></i>?Cevraya, Golgari shaman</i>",<i>「あたしたちが扱うのは魂じゃなくて肉体さ。だが、何かを無駄にするのは気が引けるねぇ。」</i><br/></i>――ゴルガリのシャーマン、セヴリヤ</i>,Ryan Barger,121,,,,,,,,,,RTR,レア,,
Debt to the Deathless,1,{X}{W}{W}{B}{B},Debt to the Deathless,,WB,,ソーサリー,,Each opponent loses two times X life. You gain life equal to the life lost this way.,,,,,,,,,,,,,,Debt to the Deathless,死せざる者への債務,Each opponent loses two times X life. You gain life equal to the life lost this way.,各対戦相手はそれぞれＸの２倍の点数のライフを失う。あなたはこれにより失われたライフに等しい点数のライフを得る。,<i>Some of Orzhov's cruelest collectors remember their debtors by taste alone.</i>,<i>オルゾフでも特に冷酷な取り立て屋は、債務者を味だけで判別できる。</i>,Seb McKinnon,64,,,,,,,,,,DGM,アンコモン,,
Debtor's Pulpit,1,{4}{W},Debtor's Pulpit,,W,,エンチャント,オーラ,"Enchant land<br/>Enchanted land has ""{Tap}: Tap target creature.""",,,,,,,,,,,,,,Debtor's Pulpit,債務者の演壇,"Enchant land<br/>Enchanted land has ""{Tap}: Tap target creature.""",エンチャント（土地）エンチャントされている土地は「{Tap}：クリーチャー１体を対象とし、それをタップする。」を持つ。,"<i>""You may not be able to pay. But you can still kneel."" <br/></i><br/></i>?Milana, Orzhov prelate</i>",<i>「支払いは無理かもしれませんが、ひざまずくことはできますよね。」――オルゾフの僧院長、ミラーナ</i>,James Paick,10,,,,,,,,,,GTC,アンコモン,,
Deputy of Acquittals,1,{W}{U},Deputy of Acquittals,,WU,,クリーチャー,人間 ウィザード,"Flash <i>(You may cast this spell any time you could cast an instant.)</i><br/>When Deputy of Acquittals enters the battlefield, you may return another target creature you control to its owner's hand.",2,2,,,,,,,,,,,,Deputy of Acquittals,返済代理人,"Flash <i>(You may cast this spell any time you could cast an instant.)</i><br/>When Deputy of Acquittals enters the battlefield, you may return another target creature you control to its owner's hand.",瞬速（あなたはこの呪文を、あなたがインスタントを唱えられるときならいつでも唱えてよい。）<br/>返済代理人が戦場に出たとき、あなたがコントロールする他のクリーチャー１体を対象とする。あなたはそれをオーナーの手札に戻してもよい。,"<i>""Everyone deserves a day in court.""</i>",<i>「誰でも一度は裁判制度を利用すべきでしょう。」</i>,James Ryman,65,,,,,,,,,,DGM,コモン,,
Desecration Demon,1,{2}{B}{B},Desecration Demon,,B,,クリーチャー,デーモン,"Flying<br/>At the beginning of each combat, any opponent may sacrifice a creature. If a player does, tap Desecration Demon and put a +1/+1 counter on it.",6,6,,,,,,,,,,,,Desecration Demon,冒涜の悪魔,"Flying<br/>At the beginning of each combat, any opponent may sacrifice a creature. If a player does, tap Desecration Demon and put a +1/+1 counter on it.",飛行<br/>各戦闘の開始時に、どの対戦相手でもクリーチャー１体を生け贄に捧げてもよい。いずれかのプレイヤーがそうした場合、冒涜の悪魔をタップし、これの上に＋１/＋１カウンターを１個置く。,,,Jason Chan,63,,,,,,,,,,RTR,レア,,
Destroy the Evidence,1,{4}{B},Destroy the Evidence,,B,,ソーサリー,,"Destroy target land. Its controller reveals cards from the top of his or her library until he or she reveals a land card, then puts those cards into his or her graveyard.",,,,,,,,,,,,,,Destroy the Evidence,証拠隠滅,"Destroy target land. Its controller reveals cards from the top of his or her library until he or she reveals a land card, then puts those cards into his or her graveyard.",土地１つを対象とし、それを破壊する。それのコントローラーは自分のライブラリーの一番上から、土地カードが公開されるまでカードを公開し続ける。その後それらのカードを自分の墓地に置く。,<i>Everyone knew the Dimir had done the damage. Everyone suspected the Izzet had hired them.</i>,<i>ディミーアが損害を与えたことは誰もが知っている。そして彼らを雇ったのはイゼットではないかと、誰もが疑っている。</i>,Clint Cearley,64,,,,,,,,,,RTR,コモン,,
Detention Sphere,1,{1}{W}{U},Detention Sphere,,WU,,エンチャント,,"When Detention Sphere enters the battlefield, you may exile target nonland permanent not named Detention Sphere and all other permanents with the same name as that permanent.<br/>When Detention Sphere leaves the battlefield, return the exiled cards to the battlefield under their owner's control.",,,,,,,,,,,,,,Detention Sphere,拘留の宝球,"When Detention Sphere enters the battlefield, you may exile target nonland permanent not named Detention Sphere and all other permanents with the same name as that permanent.<br/>When Detention Sphere leaves the battlefield, return the exiled cards to the battlefield under their owner's control.",拘留の宝球が戦場に出たとき、拘留の宝球という名前でなく土地でないパーマネント１つを対象とする。あなたはそのパーマネントと、そのパーマネントと同じ名前を持つ他のすべてのパーマネントを追放してもよい。<br/>拘留の宝球が戦場を離れたとき、その追放されたカードをオーナーのコントロール下で戦場に戻す。,,,Kev Walker,155,,,,,,,,,,RTR,レア,,
Deviant Glee,1,{B},Deviant Glee,,B,,エンチャント,オーラ,"Enchant creature<br/>Enchanted creature gets +2/+1 and has ""{R}: This creature gains trample until end of turn.""",,,,,,,,,,,,,,Deviant Glee,逸脱者の歓び,"Enchant creature<br/>Enchanted creature gets +2/+1 and has ""{R}: This creature gains trample until end of turn.""",エンチャント（クリーチャー）<br/>エンチャントされているクリーチャーは＋２/＋１の修整を受けるとともに「{R}：このクリーチャーはターン終了時までトランプルを得る。」を持つ。,"<i>""You just need the right incentive to fulfill my dreams.""</i>",<i>「お前に必要なのは私の夢を叶えるという正しい動機だけだ。」</i><br/></i></i>,Michael C. Hayes,65,,,,,,,,,,RTR,コモン,,
Devour Flesh,1,{1}{B},Devour Flesh,,B,,インスタント,,"Target player sacrifices a creature, then gains life equal to that creature's toughness.",,,,,,,,,,,,,,Devour Flesh,肉貪り,"Target player sacrifices a creature, then gains life equal to that creature's toughness.",プレイヤー１人を対象とする。そのプレイヤーはクリーチャーを１体生け贄に捧げ、その後そのクリーチャーのタフネスに等しい点数のライフを得る。,"<i>His twisted mind concluded that if he was what he ate, and he wanted to stay human, . . .</i>",<i>彼のねじくれた精神はこう結論づけた。自分の体を作るのは食べた物である。自分は人間であり続けたい。ならば……</i>,Kev Walker,63,,,,,,,,,,GTC,コモン,,
Diluvian Primordial,1,{5}{U}{U},Diluvian Primordial,,U,,クリーチャー,アバター,"Flying<br/>When Diluvian Primordial enters the battlefield, for each opponent, you may cast up to one target instant or sorcery card from that player's graveyard without paying its mana cost. If a card cast this way would be put into a graveyard this turn, exile it instead.",5,5,,,,,,,,,,,,Diluvian Primordial,氾濫の始源体,"Flying<br/>When Diluvian Primordial enters the battlefield, for each opponent, you may cast up to one target instant or sorcery card from that player's graveyard without paying its mana cost. If a card cast this way would be put into a graveyard this turn, exile it instead.",飛行氾濫の始源体が戦場に出たとき、対戦相手1人につき、それぞれそのプレイヤーの墓地にあるインスタント・カード１枚かソーサリー・カードを最大１枚まで対象とする。あなたはそれを、それのマナ・コストを支払うことなく唱えてもよい。このターン、これにより唱えられたカードがいずれかの墓地に置かれる場合、代わりにそれを追放する。,,,Stephan Martiniere,33,,,,,,,,,,GTC,レア,,
