カード名(オラクル),セグメント番号,マナ・コスト,名前(オラクル・正面非反転),色指標(正面非反転),色(正面非反転),特殊タイプ・リスト(正面非反転),カード・タイプ・リスト(正面非反転),サブタイプ・リスト(正面非反転),オラクル・テキスト(正面非反転),パワー(正面非反転),タフネス(正面非反転),忠誠度(正面非反転),名前(オラクル・背面/反転),色指標(背面/反転),色(背面/反転),特殊タイプ・リスト(背面/反転),カード・タイプ・リスト(背面/反転),サブタイプ・リスト(背面/反転),オラクル・テキスト(背面/反転),パワー(背面/反転),タフネス(背面/反転),忠誠度(背面/反転),名前(プリント・正面非反転・英),名前(プリント・正面非反転・日),ルール・テキスト(プリント・正面非反転・英),ルール・テキスト(プリント・正面非反転・日),フレイバー・テキスト(正面非反転・英),フレイバー・テキスト(正面非反転・日),アーティスト,コレクター番号,名前(プリント・背面/反転・英),名前(プリント・背面/反転・日),ルール・テキスト(プリント・背面/反転・英),ルール・テキスト(プリント・背面/反転・日),フレイバー・テキスト(背面/反転・英),フレイバー・テキスト(背面/反転・日),アーティスト(背面),コレクター番号(背面),両面/反転,カード・セット・コード,レアリティ,禁止フォーマット・リスト,制限フォーマット・リスト,
Darksteel Forge,1,{9},Darksteel Forge,,Colorless,,アーティファクト,,"Artifacts you control have indestructible. <i>(Effects that say ""destroy"" don't destroy them. Artifact creatures with indestructible can't be destroyed by damage.)</i>",,,,,,,,,,,,,,Darksteel Forge,ダークスティールの溶鉱炉,"Artifacts you control have indestructible. <i>(Effects that say ""destroy"" don't destroy them. Artifact creatures with indestructible can't be destroyed by damage.)</i>",あなたがコントロールするアーティファクトは破壊不能を持つ。（「破壊する」効果ではそれらは破壊されない。破壊不能を持つアーティファクト・クリーチャーは、ダメージによって破壊されない。）,"<i>""It is as if this world has been expecting our blessings.""?Elesh Norn, Grand Cenobite</i>",<i>「まるでこの世界が我々の祝福を待ち望んでいたかのようではないですか。」――大修道士、エリシュ・ノーン</i>,Martina Pilcerova,206,,,,,,,,,,M14,神話レア,,,
Darksteel Ingot,1,{3},Darksteel Ingot,,Colorless,,アーティファクト,,Indestructible<br/>{Tap}: Add one mana of any color to your mana pool.,,,,,,,,,,,,,,Darksteel Ingot,ダークスティールの鋳塊,"Darksteel Ingot is indestructible. <i>(""Destroy"" effects and lethal damage don't destroy it.)</i><br/>{Tap}: Add one mana of any color to your mana pool.","ダークスティールの鋳塊は破壊されない。 （""破壊""効果や致死ダメージでは、これは破壊されない。）<br/>{Tap}：あなたのマナ・プールに、好きな色の１色のマナ１点を加える。",,,Martina Pilcerova,112,,,,,,,,,,DST,コモン,,,
Darksteel Ingot,1,{3},Darksteel Ingot,,Colorless,,アーティファクト,,Indestructible<br/>{Tap}: Add one mana of any color to your mana pool.,,,,,,,,,,,,,,Darksteel Ingot,ダークスティールの鋳塊,"Darksteel Ingot is indestructible. <i>(""Destroy"" effects and lethal damage don't destroy it.)</i><br/>{Tap}: Add one mana of any color to your mana pool.",ダークスティールの鋳塊は破壊されない。 （「破壊する」効果や致死ダメージではそれは破壊されない。）<br/>{Tap}：あなたのマナ・プールに、好きな色１色のマナ１点を加える。,,,Martina Pilcerova,245,,,,,,,,,,CMD,コモン,,,
Darksteel Ingot,1,{3},Darksteel Ingot,,Colorless,,アーティファクト,,Indestructible<br/>{Tap}: Add one mana of any color to your mana pool.,,,,,,,,,,,,,,Darksteel Ingot,ダークスティールの鋳塊,"Indestructible <i>(Effects that say ""destroy"" don't destroy this artifact.)</i>{Tap}: Add one mana of any color to your mana pool.",破壊不能（「破壊する」と書かれた効果では、このアーティファクトは破壊されない。）{Tap}：あなたのマナ・プールに、好きな色１色のマナ１点を加える。,"<i>""It reflects the purity of Mirrodin-that-was.""?Koth of the Hammer</i>",<i>「それはかつてのミラディンの清純さを表している。」――槌のコス</i>,Martina Pilcerova,207,,,,,,,,,,M14,アンコモン,,,
Darksteel Ingot,1,{3},Darksteel Ingot,,Colorless,,アーティファクト,,Indestructible<br/>{Tap}: Add one mana of any color to your mana pool.,,,,,,,,,,,,,,Darksteel Ingot,ダークスティールの鋳塊,Indestructible{Tap}: Add one mana of any color to your mana pool.,破壊不能{Tap}：あなたのマナ・プールに、好きな色１色のマナ１点を加える。,"<i>""It reflects the purity of Mirrodin-that-was.""?Koth of the Hammer</i>",<i>「それはかつてのミラディンの清純さを表している。」――槌のコス</i>,Martina Pilcerova,241,,,,,,,,,,C13,アンコモン,,,
Dawnstrike Paladin,1,{3}{W}{W},Dawnstrike Paladin,,W,,クリーチャー,人間 騎士,Vigilance <i>(Attacking doesn't cause this creature to tap.)</i><br/>Lifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i>,2,4,,,,,,,,,,,,Dawnstrike Paladin,暁駆けの聖騎士,Vigilance <i>(Attacking doesn't cause this creature to tap.)</i>Lifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i>,警戒（このクリーチャーは攻撃してもタップしない。）絆魂（このクリーチャーがダメージを与える場合、さらにあなたはその点数分のライフを得る。）,<i>She crushes darkness beneath her charger's hooves.</i>,<i>彼女は軍馬の蹄で闇を踏み破る。</i>,Tyler Jacobson,15,,,,,,,,,,M14,コモン,,,
Dawnstrike Paladin,1,{3}{W}{W},Dawnstrike Paladin,,W,,クリーチャー,人間 騎士,Vigilance <i>(Attacking doesn't cause this creature to tap.)</i><br/>Lifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i>,2,4,,,,,,,,,,,,Dawnstrike Paladin,暁駆けの聖騎士,VigilanceLifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i>,警戒絆魂（このクリーチャーがダメージを与える場合、さらにあなたはその点数分のライフを得る。）,<i>She crushes darkness beneath her charger's hooves.</i>,<i>彼女は軍馬の蹄で闇を踏み破る。</i>,Tyler Jacobson,14,,,,,,,,,,DDL,コモン,,,
Deadly Recluse,1,{1}{G},Deadly Recluse,,G,,クリーチャー,蜘蛛,Reach <i>(This creature can block creatures with flying.)</i><br/>Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i>,1,2,,,,,,,,,,,,Deadly Recluse,命取りの出家蜘蛛,Reach <i>(This creature can block creatures with flying.)</i><br/>Deathtouch <i>(Creatures dealt damage by this creature are destroyed. You can divide this creature's combat damage among any of the creatures blocking or blocked by it.)</i>,到達 （このクリーチャーは飛行を持つクリーチャーをブロックできる。）<br/>接死 （このクリーチャーにダメージを与えられたクリーチャーは破壊される。 このクリーチャーの戦闘ダメージは、それがブロックしている、あるいはそれをブロックしているクリーチャーの中で好きなように割り振れる。）,,,Warren Mahy,175,,,,,,,,,,M10,コモン,,,
Deadly Recluse,1,{1}{G},Deadly Recluse,,G,,クリーチャー,蜘蛛,Reach <i>(This creature can block creatures with flying.)</i><br/>Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i>,1,2,,,,,,,,,,,,Deadly Recluse,命取りの出家蜘蛛,Reach <i>(This creature can block creatures with flying.)</i><br/>Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i>,到達 （このクリーチャーは飛行を持つクリーチャーをブロックできる。）<br/>接死 （これが何らかのダメージをクリーチャーに与えた場合、それだけで破壊される。）,,,Warren Mahy,149,,,,,,,,,,CMD,コモン,,,
Deadly Recluse,1,{1}{G},Deadly Recluse,,G,,クリーチャー,蜘蛛,Reach <i>(This creature can block creatures with flying.)</i><br/>Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i>,1,2,,,,,,,,,,,,Deadly Recluse,命取りの出家蜘蛛,Reach <i>(This creature can block creatures with flying.)</i><br/>Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i>,到達（このクリーチャーは飛行を持つクリーチャーをブロックできる。）<br/>接死（これが何らかのダメージをクリーチャーに与えた場合、それだけで破壊される。）,<i>Even dragons fear its silken strands.</i>,<i>ドラゴンさえその絹のような細糸を恐れる。</i>,Warren Mahy,165,,,,,,,,,,M13,コモン,,,
Deadly Recluse,1,{1}{G},Deadly Recluse,,G,,クリーチャー,蜘蛛,Reach <i>(This creature can block creatures with flying.)</i><br/>Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i>,1,2,,,,,,,,,,,,Deadly Recluse,命取りの出家蜘蛛,Reach <i>(This creature can block creatures with flying.)</i>Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i>,到達（このクリーチャーでは飛行を持つクリーチャーをブロックできる。）接死（これが何らかのダメージをクリーチャーに与えた場合、それだけで破壊される。）,<i>Even dragons fear its silken strands.</i>,<i>ドラゴンさえその絹のような細糸を恐れる。</i>,Warren Mahy,168,,,,,,,,,,M14,コモン,,,
Deadly Recluse,1,{1}{G},Deadly Recluse,,G,,クリーチャー,蜘蛛,Reach <i>(This creature can block creatures with flying.)</i><br/>Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i>,1,2,,,,,,,,,,,,Deadly Recluse,命取りの出家蜘蛛,Reach <i>(This creature can block creatures with flying.)</i>Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i>,到達（このクリーチャーでは飛行を持つクリーチャーをブロックできる。）接死（これが何らかのダメージをクリーチャーに与えた場合、それだけで破壊される。）,<i>Even dragons fear its silken strands.</i>,<i>ドラゴンさえその絹のような細糸を恐れる。</i>,Warren Mahy,45,,,,,,,,,,DDL,コモン,,,
Deathgaze Cockatrice,1,{2}{B}{B},Deathgaze Cockatrice,,B,,クリーチャー,コカトリス,Flying<br/>Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i>,2,2,,,,,,,,,,,,Deathgaze Cockatrice,凶眼のコカトリス,FlyingDeathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i>,飛行接死（これが何らかのダメージをクリーチャーに与えた場合、それだけで破壊される。）,"<i>""Sometimes I come across a stone finger or foot and I know I'm in cockatrice territory.""?Rulak, bog guide</i>",<i>「たまに石化した指とか足とかに出くわすと、コカトリスの縄張りに入ったなってわかるのさ。」――沼地の案内役、ルーラク</i>,Kev Walker,94,,,,,,,,,,M14,コモン,,,
Demolish,1,{3}{R},Demolish,,R,,ソーサリー,,Destroy target artifact or land.,,,,,,,,,,,,,,Demolish,,Destroy target artifact or land.,,"<i>""Pound the steel until it fits.</i><br/></i>Doesn't work? Bash to bits.""</i><br/></i>?Dwarven forging song</i>",,Gary Ruddell,183,,,,,,,,,,ODY,アンコモン,,,
Demolish,1,{3}{R},Demolish,,R,,ソーサリー,,Destroy target artifact or land.,,,,,,,,,,,,,,Demolish,,Destroy target artifact or land.,,"""Pound the steel until it fits. <br/>Doesn't work? Bash to bits."" <br/>?Dwarven forging song",,Gary Ruddell,183,,,,,,,,,,8ED,アンコモン,,,
Demolish,1,{3}{R},Demolish,,R,,ソーサリー,,Destroy target artifact or land.,,,,,,,,,,,,,,Demolish,破砕,Destroy target artifact or land.,アーティファクト１つか土地１つを対象とし、それを破壊する。,"""Pound the steel until it fits. <br/>Doesn't work? Bash to bits."" <br/>?Dwarven forging song",鋼ぶっ叩きゃ型あわせ。 <br/>うまくいかなきゃぶち壊せ。 <br/>― ドワーフの鍛冶屋の歌,Gary Ruddell,179,,,,,,,,,,9ED,アンコモン,,,
Demolish,1,{3}{R},Demolish,,R,,ソーサリー,,Destroy target artifact or land.,,,,,,,,,,,,,,Demolish,破砕,Destroy target artifact or land.,アーティファクト１つか土地１つを対象とし、それを破壊する。,"""Pound the steel until it fits. <br/>Doesn't work? Bash to bits."" <br/>?Dwarven forging song",鋼ぶっ叩きゃ型あわせ。 <br/>うまくいかなきゃ ぶち壊せ。 <br/>― ドワーフの鍛冶屋の歌,Gary Ruddell,196,,,,,,,,,,10E,コモン,,,
Demolish,1,{3}{R},Demolish,,R,,ソーサリー,,Destroy target artifact or land.,,,,,,,,,,,,,,Demolish,破砕,Destroy target artifact or land.,アーティファクト１つか土地１つを対象とし、それを破壊する。,"<i>""This is why I hate settlements. They lull you into a false sense of security.""</i><br/></i>?Yon Basrel, Oran-Rief survivalist</i>",<i>「だから定住は嫌いなんだよ。 間違った安心を植えつけられちまうからな。」</i><br/></i>――オラン＝リーフの生き残り、ヨン・バスレル</i>,John Avon,121,,,,,,,,,,ZEN,コモン,,,
Demolish,1,{3}{R},Demolish,,R,,ソーサリー,,Destroy target artifact or land.,,,,,,,,,,,,,,Demolish,破砕,Destroy target artifact or land.,アーティファクト１つか土地１つを対象とし、それを破壊する。,,,John Avon,132,,,,,,,,,,M11,コモン,,,
Demolish,1,{3}{R},Demolish,,R,,ソーサリー,,Destroy target artifact or land.,,,,,,,,,,,,,,Demolish,破砕,Destroy target artifact or land.,アーティファクト１つか土地１つを対象とし、それを破壊する。,"<i>""To truly defeat a skaberen, you must destroy not the monster but the lab.""</i><br/></i>?Rem Karolus, Blade of the Inquisitors</i>",<i>「スカーブ師を完全に打ち負かすには、怪物ではなく実験室を破壊する必要がある。」</i><br/></i>――審問官の刃、レム・カロラス</i>,Raymond Swanland,132,,,,,,,,,,AVR,コモン,,,
Demolish,1,{3}{R},Demolish,,R,,ソーサリー,,Destroy target artifact or land.,,,,,,,,,,,,,,Demolish,破砕,Destroy target artifact or land.,アーティファクト１つか土地１つを対象とし、それを破壊する。,"<i>""This is why I hate settlements. They lull you into a false sense of security.""?Yon Basrel, Oran-Rief survivalist</i>",<i>「だから定住は嫌いなんだよ。間違った安心を植えつけられちまうからな。」――オラン＝リーフの生き残り、ヨン・バスレル</i>,John Avon,136,,,,,,,,,,M14,コモン,,,
Demolish,1,{3}{R},Demolish,,R,,ソーサリー,,Destroy target artifact or land.,,,,,,,,,,,,,,Demolish,破砕,Destroy target artifact or land.,アーティファクト１つか土地１つを対象とし、それを破壊する。,"<i>""When fire is shackled to candle and torch, subjected to insignificance, it finds a way to lash out at its masters."" <br/></i><br/></i>?Vala, disciple of Purphoros</i>",<i>「炎は蝋燭や松明に繋がれ、取るに足らないものとされても、その主に対して一矢報いる方法を見つけ出すものだ。」 <br/></i><br/></i>――パーフォロスの信奉者、ヴァラ</i>,Volkan Baga,118,,,,,,,,,,THS,コモン,,,
Devout Invocation,1,{6}{W},Devout Invocation,,W,,ソーサリー,,Tap any number of untapped creatures you control. Put a 4/4 white Angel creature token with flying onto the battlefield for each creature tapped this way.,,,,,,,,,,,,,,Devout Invocation,敬虔な祈り,Tap any number of untapped creatures you control. Put a 4/4 white Angel creature token with flying onto the battlefield for each creature tapped this way.,あなたは、あなたがコントロールするアンタップ状態のクリーチャーを望む数タップする。これによりタップされたクリーチャー１体につき、飛行を持つ白の４/４の天使・クリーチャー・トークンを１体戦場に出す。,<i>A prayer to bring demons to their knees.</i>,<i>悪魔を屈服させるための祈り。</i>,David Palumbo,16,,,,,,,,,,M14,神話レア,,,
Diabolic Tutor,1,{2}{B}{B},Diabolic Tutor,,B,,ソーサリー,,Search your library for a card and put that card into your hand. Then shuffle your library.,,,,,,,,,,,,,,Diabolic Tutor,,Search your library for a card and put that card into your hand. Then shuffle your library.,,<i>The best ideas often come from the worst minds.</i>,,Rick Farrell,129,,,,,,,,,,ODY,アンコモン,,,
Diabolic Tutor,1,{2}{B}{B},Diabolic Tutor,,B,,ソーサリー,,Search your library for a card and put that card into your hand. Then shuffle your library.,,,,,,,,,,,,,,Diabolic Tutor,,Search your library for a card and put that card into your hand. Then shuffle your library.,,<i>The best ideas often come from the worst minds.</i>,,Rick Farrell,128,,,,,,,,,,8ED,アンコモン,,,
Diabolic Tutor,1,{2}{B}{B},Diabolic Tutor,,B,,ソーサリー,,Search your library for a card and put that card into your hand. Then shuffle your library.,,,,,,,,,,,,,,Diabolic Tutor,魔性の教示者,Search your library for a card and put that card into your hand. Then shuffle your library.,あなたのライブラリーからカードを１枚探し、それをあなたの手札に加える。 その後、あなたのライブラリーを切り直す。,<i>The best ideas often come from the worst minds.</i>,<i>最高のアイデアは、往々にして最低の心から生まれるんだ。</i>,Rick Farrell,125,,,,,,,,,,9ED,アンコモン,,,
Diabolic Tutor,1,{2}{B}{B},Diabolic Tutor,,B,,ソーサリー,,Search your library for a card and put that card into your hand. Then shuffle your library.,,,,,,,,,,,,,,Diabolic Tutor,魔性の教示者,Search your library for a card and put that card into your hand. Then shuffle your library.,あなたのライブラリーからカードを１枚探し、そのカードをあなたの手札に加える。 その後あなたのライブラリーを切り直す。,<i>The best ideas often come from the worst minds.</i>,<i>最高のアイデアは、往々にして最低の心から生まれるんだ。</i>,Greg Staples,135,,,,,,,,,,10E,アンコモン,,,
Diabolic Tutor,1,{2}{B}{B},Diabolic Tutor,,B,,ソーサリー,,Search your library for a card and put that card into your hand. Then shuffle your library.,,,,,,,,,,,,,,Diabolic Tutor,魔性の教示者,Search your library for a card and put that card into your hand. Then shuffle your library.,あなたのライブラリーからカードを１枚探し、そのカードをあなたの手札に加える。 その後あなたのライブラリーを切り直す。,<i>The wise always keep an ear open to the whispers of power.</i>,<i>賢き者は、常に力の囁きに耳を傾ける。</i>,Greg Staples,91,,,,,,,,,,M10,アンコモン,,,
Diabolic Tutor,1,{2}{B}{B},Diabolic Tutor,,B,,ソーサリー,,Search your library for a card and put that card into your hand. Then shuffle your library.,,,,,,,,,,,,,,Diabolic Tutor,魔性の教示者,Search your library for a card and put that card into your hand. Then shuffle your library.,あなたのライブラリーからカードを１枚探し、そのカードをあなたの手札に加える。 その後あなたのライブラリーを切り直す。,<i>The wise always keep an ear open to the whispers of power.</i>,<i>賢き者は、常に力の囁きに耳を傾ける。</i>,Greg Staples,93,,,,,,,,,,M11,アンコモン,,,
Diabolic Tutor,1,{2}{B}{B},Diabolic Tutor,,B,,ソーサリー,,Search your library for a card and put that card into your hand. Then shuffle your library.,,,,,,,,,,,,,,Diabolic Tutor,魔性の教示者,Search your library for a card and put that card into your hand. Then shuffle your library.,あなたのライブラリーからカードを１枚探し、そのカードをあなたの手札に加える。 その後あなたのライブラリーを切り直す。,<i>The wise always keep an ear open to the whispers of power.</i>,<i>賢き者は、常に力の囁きに耳を傾ける。</i>,Greg Staples,92,,,,,,,,,,M12,アンコモン,,,
Diabolic Tutor,1,{2}{B}{B},Diabolic Tutor,,B,,ソーサリー,,Search your library for a card and put that card into your hand. Then shuffle your library.,,,,,,,,,,,,,,Diabolic Tutor,魔性の教示者,Search your library for a card and put that card into your hand. Then shuffle your library.,あなたのライブラリーからカードを１枚探し、そのカードをあなたの手札に加える。 その後あなたのライブラリーを切り直す。,<i>The wise always keep an ear open to the whispers of power.</i>,<i>賢き者は、常に力の囁きに耳を傾ける。</i>,Greg Staples,77,,,,,,,,,,CMD,アンコモン,,,
Diabolic Tutor,1,{2}{B}{B},Diabolic Tutor,,B,,ソーサリー,,Search your library for a card and put that card into your hand. Then shuffle your library.,,,,,,,,,,,,,,Diabolic Tutor,魔性の教示者,Search your library for a card and put that card into your hand. Then shuffle your library.,あなたのライブラリーからカードを１枚探し、そのカードをあなたの手札に加える。その後あなたのライブラリーを切り直す。,<i>The wise always keep an ear open to the whispers of power.</i>,<i>賢き者は、常に力の囁きに耳を傾ける。</i>,Greg Staples,95,,,,,,,,,,M14,アンコモン,,,
Dismiss into Dream,1,{6}{U},Dismiss into Dream,,U,,エンチャント,,"Each creature your opponents control is an Illusion in addition to its other types and has ""When this creature becomes the target of a spell or ability, sacrifice it.""",,,,,,,,,,,,,,Dismiss into Dream,夢への放逐,"Each creature your opponents control is an Illusion in addition to its other types and has ""When this creature becomes the target of a spell or ability, sacrifice it.""",あなたの対戦相手がコントロールする各クリーチャーは、それぞれの他のタイプに加えてイリュージョンであり、「このクリーチャーが呪文や能力の対象になったとき、これを生け贄に捧げる。」を持つ。,"<i>""You trust in the shadows of a breeze.""?Noyan Dar, Tazeem lullmage</i>",<i>「お前はそよ風の影を信じているんだな。」――タジームの凪魔道士、ノヤン・ダール</i>,Sam Wolfe Connelly,50,,,,,,,,,,M14,レア,,,
Disperse,1,{1}{U},Disperse,,U,,インスタント,,Return target nonland permanent to its owner's hand.,,,,,,,,,,,,,,Disperse,分散,Return target nonland permanent to its owner's hand.,土地でないパーマネント１つを対象とし、それをオーナーの手札に戻す。,"<i>Gryffid scowled at the sky. A perfect day for the hunt tainted by clouds. He wished them gone. High above, the clouds looked down, scowled, and made a wish of their own.</i>",<i>グリフィドは空をにらみつけた。 完璧な狩り日和が、雲で台無しだった。 彼は雲が消えることを願った。 その空の高みでは、雲が苦々しく下界を見下ろし、同じことを願っていた。</i>,Steve Ellis,31,,,,,,,,,,MOR,コモン,,,
Disperse,1,{1}{U},Disperse,,U,,インスタント,,Return target nonland permanent to its owner's hand.,,,,,,,,,,,,,,Disperse,分散,Return target nonland permanent to its owner's hand.,土地でないパーマネント１つを対象とし、それをオーナーの手札に戻す。,<i>Most casualties of the power struggle between vedalken and Neurok didn't die on the field of battle; they merely disappeared.</i>,<i>ヴィダルケンとニューロックの権力闘争の犠牲者のほとんどは戦場で死ぬことはない。単に消え去るだけだ。</i>,Adrian Smith,31,,,,,,,,,,SOM,コモン,,,
Disperse,1,{1}{U},Disperse,,U,,インスタント,,Return target nonland permanent to its owner's hand.,,,,,,,,,,,,,,Disperse,分散,Return target nonland permanent to its owner's hand.,土地でないパーマネント１つを対象とし、それをオーナーの手札に戻す。,"<i>Gryffid found his way home and resumed life as best he could, constantly hiding his newfound fear of clouds.</i>",<i>グリフィドはどうにか帰宅し、雲に恐怖を抱くようになったことは隠しつつこれまで通りの生活を心がけた。</i>,Steve Ellis,51,,,,,,,,,,M14,コモン,,,
Divination,1,{2}{U},Divination,,U,,ソーサリー,,Draw two cards.,,,,,,,,,,,,,,Divination,予言,Draw two cards.,カードを２枚引く。,"<i>""The key to unlocking this puzzle is within you.""</i><br/></i>?Doriel, mentor of Mistral Isle</i>",<i>「この謎を解く鍵はお前の中にある。」</i><br/></i>――北風島の導師、ドリエル</i>,Howard Lyon,49,,,,,,,,,,M10,コモン,,,
Divination,1,{2}{U},Divination,,U,,ソーサリー,,Draw two cards.,,,,,,,,,,,,,,Divination,予言,Draw two cards.,カードを２枚引く。,"<i>""The key to unlocking this puzzle is within you.""</i><br/></i>?Doriel, mentor of Mistral Isle</i>",<i>「この謎を解く鍵はお前の中にある。」</i><br/></i>――北風島の導師、ドリエル</i>,Howard Lyon,50,,,,,,,,,,M12,コモン,,,
Divination,1,{2}{U},Divination,,U,,ソーサリー,,Draw two cards.,,,,,,,,,,,,,,Divination,予言,Draw two cards.,カードを２枚引く。,"<i>""The key to unlocking this puzzle is within you.""</i><br/></i>?Doriel, mentor of Mistral Isle</i>",<i>「この謎を解く鍵はお前の中にある。」――北風島の導師、ドリエル</i>,Howard Lyon,47,,,,,,,,,,M13,コモン,,,
Divination,1,{2}{U},Divination,,U,,ソーサリー,,Draw two cards.,,,,,,,,,,,,,,Divination,予言,Draw two cards.,カードを２枚引く。,"<i>Even the House of Galan, who takes the most scholarly approach to the mystic traditions, has resorted to exploring more primitive methods in Avacyn's absence.</i>",<i>神秘的な伝統に対して最も学問的にあたってきたガラン家ですら、アヴァシンの不在に関する探求に対しては、より原始的な手段に頼っている。</i>,Scott Chou,35,,,,,,,,,,DKA,コモン,,,
Divination,1,{2}{U},Divination,,U,,ソーサリー,,Draw two cards.,,,,,,,,,,,,,,Divination,予言,Draw two cards.,カードを２枚引く。,"<i>""The key to unlocking this puzzle is within you.""?Doriel, mentor of Mistral Isle</i>",<i>「この謎を解く鍵はお前の中にある。」――北風島の導師、ドリエル</i>,Howard Lyon,52,,,,,,,,,,M14,コモン,,,
Divination,1,{2}{U},Divination,,U,,ソーサリー,,Draw two cards.,,,,,,,,,,,,,,Divination,予言,Draw two cards.,カードを２枚引く。,"<i>""Ask of Keranos that you may understand the stars that mark your destiny. Implore Erebos that you may accept the fate thus divulged.""</i>",<i>「己の運命を示す星のことを理解できるようになれることを、ケラノス様に願うのです。そして、それによって暴かれた運命を受け入れることができるようになることを、エレボス様に懇願するのです。」</i>,Willian Murai,36,,,,,,,,,,BNG,コモン,,,
Divine Favor,1,{1}{W},Divine Favor,,W,,エンチャント,オーラ,"Enchant creature<br/>When Divine Favor enters the battlefield, you gain 3 life.<br/>Enchanted creature gets +1/+3.",,,,,,,,,,,,,,Divine Favor,神聖なる好意,"Enchant creature<br/>When Divine Favor enters the battlefield, you gain 3 life.<br/>Enchanted creature gets +1/+3.",エンチャント（クリーチャー）<br/>神聖なる好意が戦場に出たとき、あなたは３点のライフを得る。<br/>エンチャントされているクリーチャーは＋１/＋３の修整を受ける。,"<i>With an armory of light, even the squire may champion her people.</i>",<i>光の武装をまとえば、従者ですら勇者となる。</i>,Allen Williams,14,,,,,,,,,,M12,コモン,,,
Divine Favor,1,{1}{W},Divine Favor,,W,,エンチャント,オーラ,"Enchant creature<br/>When Divine Favor enters the battlefield, you gain 3 life.<br/>Enchanted creature gets +1/+3.",,,,,,,,,,,,,,Divine Favor,神聖なる好意,"Enchant creature<br/>When Divine Favor enters the battlefield, you gain 3 life.<br/>Enchanted creature gets +1/+3.",エンチャント（クリーチャー）<br/>神聖なる好意が戦場に出たとき、あなたは３点のライフを得る。エンチャントされているクリーチャーは＋１/＋３の修整を受ける。,"<i>With an armory of light, even the squire may champion her people.</i>",<i>光の武装をまとえば、従者ですら勇者となる。</i>,Allen Williams,11,,,,,,,,,,M13,コモン,,,
Divine Favor,1,{1}{W},Divine Favor,,W,,エンチャント,オーラ,"Enchant creature<br/>When Divine Favor enters the battlefield, you gain 3 life.<br/>Enchanted creature gets +1/+3.",,,,,,,,,,,,,,Divine Favor,神聖なる好意,"Enchant creatureWhen Divine Favor enters the battlefield, you gain 3 life.Enchanted creature gets +1/+3.",エンチャント（クリーチャー）神聖なる好意が戦場に出たとき、あなたは３点のライフを得る。エンチャントされているクリーチャーは＋１/＋３の修整を受ける。,"<i>With an armory of light, even the squire may champion her people.</i>",<i>光の武装をまとえば、従者ですら勇者となる。</i>,Allen Williams,17,,,,,,,,,,M14,コモン,,,
Domestication,1,{2}{U}{U},Domestication,,U,,エンチャント,オーラ,"Enchant creature<br/>You control enchanted creature.<br/>At the beginning of your end step, if enchanted creature's power is 4 or greater, sacrifice Domestication.",,,,,,,,,,,,,,Domestication,家畜化,"Enchant creature<br/>You control enchanted creature.<br/>At the beginning of your end step, if enchanted creature's power is 4 or greater, sacrifice Domestication.",エンチャント（クリーチャー）<br/>あなたはエンチャントされているクリーチャーをコントロールする。<br/>あなたの終了ステップの開始時に、エンチャントされているクリーチャーのパワーが４以上である場合、家畜化を生け贄に捧げる。,,,Jesper Ejsing,61,,,,,,,,,,ROE,アンコモン,,,
Domestication,1,{2}{U}{U},Domestication,,U,,エンチャント,オーラ,"Enchant creature<br/>You control enchanted creature.<br/>At the beginning of your end step, if enchanted creature's power is 4 or greater, sacrifice Domestication.",,,,,,,,,,,,,,Domestication,家畜化,"Enchant creatureYou control enchanted creature.At the beginning of your end step, if enchanted creature's power is 4 or greater, sacrifice Domestication.",エンチャント（クリーチャー）あなたはエンチャントされているクリーチャーをコントロールする。あなたの終了ステップの開始時に、エンチャントされているクリーチャーのパワーが４以上である場合、家畜化を生け贄に捧げる。,,,Jesper Ejsing,53,,,,,,,,,,M14,レア,,,
Doom Blade,1,{1}{B},Doom Blade,,B,,インスタント,,Destroy target nonblack creature.,,,,,,,,,,,,,,Doom Blade,破滅の刃,Destroy target nonblack creature.,黒でないクリーチャー１体を対象とし、それを破壊する。,<i>The void is without substance but cuts like steel.</i>,<i>虚無は存在はしないが、鋼のように切り裂く。</i>,Chippy,93,,,,,,,,,,M10,コモン,,,
